;Name;Set;Type;Class;Rarity;Cost;Attack;Health;Abilities;Artist;Text;Quote;Img_link;Subtype
30;Akama Prime;Ashes of Outland;Minion;Rogue;;6;6;5;['Increment attribute', 'Stealth'];James Ryman;Permanently Stealthed.;See this card on Hearthpwn;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/2/28/Akama_Prime%28211125%29.png/revision/latest/scale-to-width-down/200?cb=20201007135209;
31;Al'Akir the Windlord;Classic;Minion;Shaman;Legendary;8;3;5;['Charge', 'Divine Shield', 'Taunt', 'Windfury'];Raymond Swanland;Windfury, Charge, Divine Shield, Taunt;He is the weakest of the four Elemental Lords.  And the other three don't let him forget it.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/e/e3/Al%27Akir_the_Windlord%28335%29.png/revision/latest/scale-to-width-down/200?cb=20170803004553;Elemental
32;Al'ar;Ashes of Outland;Minion;Neutral;Legendary;5;7;3;['Deathrattle', 'Summon'];Jakub Kasper;Deathrattle: Summon a 0/3 Ashes of Al'ar that resurrects this minion on your next turn.;Week 679: Still no mount...;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/b/b0/Al%27ar%28210713%29.png/revision/latest/scale-to-width-down/200?cb=20201007135233;Elemental
33;Alarm-o-Bot;Classic;Minion;Neutral;Rare;3;0;3;['Put into battlefield', 'Return to hand'];Sean O'Daniels;At the start of your turn, swap this minion with a random one in your hand.;WARNING.  WARNING.  WARNING.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/b/b4/Alarm-o-Bot%28425%29.png/revision/latest/scale-to-width-down/200?cb=20161202180503;Mech
34;Albatross;Descent of Dragons;Minion;Neutral;Common;1;1;1;[];Patrik Bjorkstrom;See this card on Hearthpwn;[data page];https://static.wikia.nocookie.net/hearthstone_gamepedia/images/c/c6/Albatross%28151437%29.png/revision/latest/scale-to-width-down/200?cb=20191206185728;Beast
35;Alda Petrik;Saviors of Uldum;;Hunter;;0;;10 / 15;[];Vladimir Kafanov;Alda's learned some tricks. Like sit. Stay. Loot. Summon beasts.;See this card on Hearthpwn;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/c/c8/Alda_Petrik%2892642%29.png/revision/latest/scale-to-width-down/200?cb=20190920023026;
36;Aldor Attendant;Ashes of Outland;Minion;Paladin;Common;1;1;3;['Battlecry', 'Increment attribute', 'Modify cost', 'Playerbound'];Anton Zemskov;Battlecry: Reduce the Cost of your Librams by (1) this game.;Will check to make sure you have a valid libramary card.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/d/d8/Aldor_Attendant%28210757%29.png/revision/latest/scale-to-width-down/200?cb=20200519004731;
37;Aldor Peacekeeper;Classic;Minion;Paladin;Rare;3;3;3;['Battlecry', 'Set attribute'];Dany Orizio;Battlecry: Change an enemy minion's Attack to 1.;The Aldor hate two things: the Scryers and smooth jazz.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/d/d7/Aldor_Peacekeeper%2823%29.png/revision/latest/scale-to-width-down/200?cb=20160323221458;
38;Aldor Truthseeker;Ashes of Outland;Minion;Paladin;Rare;5;4;6;['Battlecry', 'Increment attribute', 'Modify cost', 'Playerbound', 'Taunt'];Mauricio Herrera;Taunt. Battlecry: Reduce the Cost of your Librams by (2) this game.;It’s under 'T.';https://static.wikia.nocookie.net/hearthstone_gamepedia/images/f/fe/Aldor_Truthseeker%28210759%29.png/revision/latest/scale-to-width-down/200?cb=20201007135244;
39;Aldrachi Warblades;Basic;Weapon;Demon Hunter;;3;2;;['Lifesteal'];J. Axer;Lifesteal;The ancient Aldrachi were the greatest warriors in the universe. Imagine their power if they'd put the handle at the END of the blade.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/2/2f/Aldrachi_Warblades%28210669%29.png/revision/latest/scale-to-width-down/200?cb=20200805170222;
40;Alexstrasza;Classic;Minion;Neutral;Legendary;9;8;8;['Battlecry', 'Set attribute'];Raymond Swanland;Battlecry: Set a hero's remaining Health to 15.;Alexstrasza the Life-Binder brings life and hope to everyone.  Except Deathwing.  And Malygos.  And Nekros.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/b/b4/Alexstrasza%28303%29.png/revision/latest/scale-to-width-down/200?cb=20160323222955;Dragon
41;Alexstrasza's Champion;The Grand Tournament;Minion;Warrior;Rare;2;2;3;['Battlecry', 'Increment attribute'];Evgeniy Zagumennyy;Battlecry: If you're holding a Dragon, gain +1 Attack and Charge.;"""Put more spikes on her.  No, more spikes.  What part of 'more spikes' do you not understand?  MORE SPIKES!"" - Alexstrasza";https://static.wikia.nocookie.net/hearthstone_gamepedia/images/0/07/Alexstrasza%27s_Champion%2822333%29.png/revision/latest/scale-to-width-down/200?cb=20160324185515;
42;Alley Armorsmith;Mean Streets of Gadgetzan;Minion;Warrior;Rare;5;2;7;['Gain Armor', 'Taunt'];Rafael Zanchetin;Taunt Whenever this minion deal damage, gain that much Armor.;The rent is cheap and she passes the savings onto YOU!;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/2/29/Alley_Armorsmith%2849663%29.png/revision/latest/scale-to-width-down/200?cb=20161202180357;
43;Alleycat;Mean Streets of Gadgetzan;Minion;Hunter;Common;1;1;1;['Battlecry', 'Summon'];Anton Zemskov;Battlecry: Summon a 1/1 Cat.;To be a cool cat in Gadgetzan, you gotta have bling.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/3/3f/Alleycat%2849745%29.png/revision/latest/scale-to-width-down/200?cb=20200911154032;Beast
44;Altruis the Outcast;Demon Hunter Initiate;Minion;Demon Hunter;Legendary;4;4;2;['Deal damage'];Jerry Mascho;After you play the left- or right-most card in your hand, deal 1 damage to all enemies.;Altruis betrayed Illidan to forge his own way in Outland. With Blackjack. And Netherdrakes.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/7/7d/Altruis_the_Outcast%28210776%29.png/revision/latest/scale-to-width-down/200?cb=20200421005439;
45;Aluneth;Kobolds and Catacombs;Weapon;Mage;Legendary;6;0;;['Draw cards'];Izzy Hoover;At the end of your turn, draw 3 cards.;PHENOMENAL ARCANE POWER…itty bitty living space.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/b/b8/Aluneth%2873321%29.png/revision/latest/scale-to-width-down/200?cb=20200805164440;
46;Am'gam Rager;Whispers of the Old Gods;Minion;Neutral;Common;3;1;5;[];Matt Gaser;peerc rewop;See this card on Hearthpwn;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/5/5c/Am%27gam_Rager%2835238%29.png/revision/latest/scale-to-width-down/200?cb=20160426224246;
47;Amalgam;Rise of Shadows;Minion;Neutral;;1;1;1;[];Christopher Hayes;This is an Elemental, Mech, Demon, Murloc, Dragon, Beast, Pirate and Totem.;See this card on Hearthpwn;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/b/b6/Amalgam%2890978%29.png/revision/latest/scale-to-width-down/200?cb=20191004184721;All
48;Amani Berserker;Classic;Minion;Neutral;Common;2;2;3;['Enrage', 'Increment attribute'];"Brian ""Chippy"" Dugan";Has +3 Attack while damaged.;"If an Amani berserker asks ""Joo lookin' at me?!"", the correct response is ""Nah, mon"".";https://static.wikia.nocookie.net/hearthstone_gamepedia/images/5/5c/Amani_Berserker%28641%29.png/revision/latest/scale-to-width-down/200?cb=20190914040755;
49;Amani War Bear;Rastakhan's Rumble;Minion;Neutral;Common;7;5;7;['Rush', 'Taunt'];Vlad Botos;RushTaunt;"""I used to farm for hours! Now they just come in packs?""";https://static.wikia.nocookie.net/hearthstone_gamepedia/images/2/23/Amani_War_Bear%2890197%29.png/revision/latest/scale-to-width-down/200?cb=20181130144135;Beast
50;Amara, Warden of Hope;Journey to Un'Goro;Minion;Priest;;5;8;8;['Battlecry', 'Set attribute', 'Taunt'];Konstantin Turovec;Taunt.Battlecry: Set your hero's Health to 40.;See this card on Hearthpwn;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/1/1e/Amara%2C_Warden_of_Hope%2852584%29.png/revision/latest/scale-to-width-down/200?cb=20200327183334;
51;Amber Watcher;Descent of Dragons;Minion;Paladin;Common;5;4;6;['Battlecry', 'Restore Health'];Arthur Gimaldinov;Battlecry: Restore 8 Health.;Healing really resin-ates with him.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/a/a8/Amber_Watcher%28151321%29.png/revision/latest/scale-to-width-down/200?cb=20191206160555;Dragon
52;Ambush;Ashes of Outland;Spell;Rogue;Rare;2;;;['Secret', 'Summon'];Vladimir Kafanov;Secret: After your opponent plays a minion, summon a 2/3 Ambusher with Poisonous.;Clip-clop clip-clop CLIP-CLOP STAB!;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/c/c7/Ambush%28210657%29.png/revision/latest/scale-to-width-down/200?cb=20201007135256;
53;Amethyst Spellstone;Kobolds and Catacombs;Spell;Warlock;Rare;4;;;['Deal damage', 'Lifesteal', 'Upgradable'];Mike Azevedo;Lifesteal. Deal 5 damage to a minion. (Take damage from your cards to upgrade.);See this card on Hearthpwn;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/c/c4/Amethyst_Spellstone%2876927%29.png/revision/latest/scale-to-width-down/200?cb=20171210123101;
54;Ammunae;Saviors of Uldum;;Druid;;0;;60;[];Benjamin Zhang;Every party needs a healer. And nobody partied like the titans.;See this card on Hearthpwn;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/6/6f/Ammunae%2892733%29.png/revision/latest/scale-to-width-down/200?cb=20200906160620;
55;Ancestor's Call;Goblins vs Gnomes;Spell;Shaman;Epic;4;;;['Put into battlefield'];Dan Scott;Put a random minion from each player's hand into the battlefield.;"""Hey! Ancestors!"" - Ancestor's call";https://static.wikia.nocookie.net/hearthstone_gamepedia/images/0/06/Ancestor%27s_Call%2812218%29.png/revision/latest/scale-to-width-down/200?cb=20160324171900;
56;Ancestral Guardian;Saviors of Uldum;Minion;Paladin;Common;4;4;2;['Lifesteal', 'Reborn'];MAR Studio;LifestealReborn;No one knows whose ancestor he is, but he's still upset that you never call.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/7/72/Ancestral_Guardian%2890822%29.png/revision/latest/scale-to-width-down/200?cb=20191105175722;
57;Ancestral Healing;Basic;Spell;Shaman;;0;;;['Restore Health'];Dan Scott;Restore a minion to full Health and give it Taunt.;I personally prefer some non-ancestral right-the-heck-now healing, but maybe that is just me.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/8/88/Ancestral_Healing%28216%29.png/revision/latest/scale-to-width-down/200?cb=20150617010020;
58;Ancestral Knowledge;The Grand Tournament;Spell;Shaman;Common;2;;;['Draw cards', 'Overload'];Zoltan & Gabor;Draw 2 cards. Overload: (2);MOMMMMMYYYYYYYYY!!!;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/d/d4/Ancestral_Knowledge%2822319%29.png/revision/latest/scale-to-width-down/200?cb=20161202172107;
59;Ancestral Spirit;Classic;Spell;Shaman;Rare;2;;;['Copy', 'Summon'];Zoltan & Gabor;"Give a minion ""Deathrattle: Resummon this minion.""";It was just a flesh wound.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/e/ef/Ancestral_Spirit%28526%29.png/revision/latest/scale-to-width-down/200?cb=20160323211528;
60;Ancharrr;Descent of Dragons;Weapon;Warrior;Legendary;3;2;;['Put into hand'];Grace Liu;After your hero attacks, draw a Pirate from your deck.;The problem with anchors is they often end up sinking to the bottom of your deck.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/c/c7/Ancharrr%28151352%29.png/revision/latest/scale-to-width-down/200?cb=20200805170241;
61;Ancient;Rastakhan's Rumble;Minion;Druid;;5;5;5;[];Charlene Le Scanff;See this card on Hearthpwn;[data page];https://static.wikia.nocookie.net/hearthstone_gamepedia/images/3/35/Ancient%2890257%29.png/revision/latest/scale-to-width-down/200?cb=20181130105547;
62;Ancient Blades;Saviors of Uldum;Hero Power;Rogue;;2;;;['Equip'];Konstantin Turovec;Hero PowerEquip a 3/2 Blade with Immune while attacking.;See this card on Hearthpwn;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/f/fd/Ancient_Blades%2890799%29.png/revision/latest/scale-to-width-down/200?cb=20191105174517;
63;Ancient Brewmaster;Classic;Minion;Neutral;Common;4;5;4;['Battlecry', 'Return to hand'];Bernie Kang;Battlecry: Return a friendly minion from the battlefield to your hand.;Most pandaren say his brew tastes like yak.  But apparently that's a compliment.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/2/28/Ancient_Brewmaster%28572%29.png/revision/latest/scale-to-width-down/200?cb=20160323213700;
64;Ancient Curse;The League of Explorers;Spell;Neutral;;4;;;['Casts When Drawn', 'Deal damage', 'Draw cards'];Slawomir Maniak;Casts When DrawnYou take 7 damage.;See this card on Hearthpwn;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/4/4f/Ancient_Curse%2827503%29.png/revision/latest/scale-to-width-down/200?cb=20190906062124;
65;Ancient Guardian;Ashes of Outland;Minion;Paladin;;8;8;8;['Divine Shield', 'Taunt'];MAR Studio;TauntDivine Shield;See this card on Hearthpwn;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/c/c1/Ancient_Guardian%28211056%29.png/revision/latest/scale-to-width-down/200?cb=20201007135306;
66;Ancient Harbinger;Whispers of the Old Gods;Minion;Neutral;Epic;6;4;6;['Put into hand'];Zoltan Boros;At the start of your turn, put a 10-Cost minion from your deck into your hand.;"""honey, can u run down to the store and pick up some 10 cost minions? thx""";https://static.wikia.nocookie.net/hearthstone_gamepedia/images/8/85/Ancient_Harbinger%2833157%29.png/revision/latest/scale-to-width-down/200?cb=20160426230605;
67;Ancient Mage;Classic;Minion;Neutral;Rare;4;2;5;['Battlecry'];Howard Lyon;Battlecry: Give adjacent minions Spell Damage +1.;Sometimes he forgets and just wanders into someone else's game.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/9/94/Ancient_Mage%28176%29.png/revision/latest/scale-to-width-down/200?cb=20160323223456;
68;Ancient Mysteries;Saviors of Uldum;Spell;Mage;Common;2;;;['Modify cost', 'Put into hand', 'Set attribute'];Jim Nelson;Draw a Secret from your deck. It costs (0).;I'm not saying it was aliens, but it was TOTALLY aliens!;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/c/c8/Ancient_Mysteries%2890832%29.png/revision/latest/scale-to-width-down/200?cb=20191105180446;
69;Ancient of Blossoms;Mean Streets of Gadgetzan;Minion;Neutral;Common;6;3;8;['Taunt'];Arthur Gimaldinov;Taunt;His new shampoo is really working!;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/c/c4/Ancient_of_Blossoms%2849733%29.png/revision/latest/scale-to-width-down/200?cb=20161202173357;
70;Ancient of Lore;Classic;Minion;Druid;Epic;7;5;5;['Choose One', 'Draw cards', 'Restore Health'];Patrik Hjelm;"Choose One - Draw a card; or Restore 5 Health.";Go ahead, carve your initials in him.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/f/f4/Ancient_of_Lore%2834%29.png/revision/latest/scale-to-width-down/200?cb=20160426225926;
71;Ancient of War;Classic;Minion;Druid;Epic;7;5;5;['Choose One', 'Increment attribute', 'Taunt'];Sean O'Daniels;"Choose One - +5 Attack; or +5 Health and Taunt.";"Young Night Elves love to play ""Who can get the Ancient of War to Uproot?""  You lose if you get crushed to death.";https://static.wikia.nocookie.net/hearthstone_gamepedia/images/c/c0/Ancient_of_War%28242%29.png/revision/latest/scale-to-width-down/200?cb=20161202182111;
72;Ancient Shade;The League of Explorers;Minion;Neutral;Rare;4;7;4;['Battlecry', 'Generate', 'Shuffle into deck'];Slawomir Maniak;Battlecry: Shuffle an 'Ancient Curse' into your deck that deals 7 damage to you when drawn.;Warning: Do not expose to direct sunlight.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/6/6f/Ancient_Shade%2827245%29.png/revision/latest/scale-to-width-down/200?cb=20160324155013;
73;Ancient Shieldbearer;Whispers of the Old Gods;Minion;Warrior;Rare;7;6;6;['Battlecry', 'Gain Armor'];Alex Konstad;Battlecry: If your C'Thun has at least 10 Attack, gain 10 Armor.;Back in her day, each shield weighed two tons and she had to carry four of them on each arm!;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/9/9c/Ancient_Shieldbearer%2833122%29.png/revision/latest/scale-to-width-down/200?cb=20160426225549;
